City_ID,City,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Lat,Lng,Hotel Name
4,Isangel,VU,80.6,69,75,11.1,-19.55,169.27,Volcano Sea View Tree House
9,Omboue,GA,77.61,86,100,7.45,-1.57,9.26,Hotel Olako
37,Puerto Ayora,EC,75.2,78,20,13.87,-0.74,-90.35,Finch Bay Galapagos Hotel
39,Kapaa,US,82.99,74,40,4.7,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
43,Labuhan,ID,78.85,84,97,8.08,-6.88,112.21,bador sepret
47,Pekan,MY,75.2,94,20,4.61,3.48,103.4,Pekan Budget Hotel
54,Cruzeiro Do Sul,BR,82.99,67,23,4.0,-29.51,-51.99,Estrela Palace Hotel
55,Capitan Bado,PY,83.46,52,62,4.05,-23.27,-55.53,Hotel Suiza
57,Lasem,ID,78.31,86,94,5.64,-6.69,111.45,"Nyah Lasem | Museum, Guest House & Community Center"
62,Hambantota,LK,78.42,81,100,11.14,6.12,81.12,Bungalow 63
67,Kavaratti,IN,81.45,76,93,6.89,10.57,72.64,Hotels in Lakshadweep Islands
71,Maceio,BR,77.0,83,0,6.93,-9.67,-35.74,Mercure Maceio Pajucara Hotel
77,Atuona,PF,78.87,75,0,19.91,-9.8,-139.03,Villa Enata
79,Praia,CV,82.4,61,0,19.46,14.92,-23.51,LT Aparthotel
84,Hithadhoo,MV,83.16,70,44,6.26,-0.6,73.08,Scoop Guest House
94,Amuntai,ID,75.29,95,99,1.34,-2.42,115.25,Hotel Balqis
95,Minuri,PH,75.2,92,100,3.85,16.54,121.86,
98,Eldorado,BR,82.9,56,70,4.63,-23.79,-54.28,Villa Verde Hotel
100,Faanui,PF,80.49,68,22,6.62,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
104,Bengkulu,ID,75.09,87,100,3.02,-3.8,102.27,Grage Hotel Bengkulu
108,Avarua,CK,77.0,65,71,13.87,-21.21,-159.78,Paradise Inn
117,Uribia,CO,84.16,74,100,6.04,11.71,-72.27,Hotel Uribia
118,Georgetown,MY,78.8,94,40,5.21,5.41,100.34,Cititel Penang
124,Goundam,ML,85.46,11,8,9.8,16.41,-3.67,
128,Carmen,MX,84.2,70,40,6.93,18.63,-91.83,Hotel Lossandes
131,Acajutla,SV,80.6,78,40,2.95,13.59,-89.83,Stop.
139,Meulaboh,ID,75.58,85,100,5.08,4.14,96.13,Kost Pria
140,Itarema,BR,80.04,77,48,16.58,-2.92,-39.92,Windvillage
146,Butaritari,KI,81.25,70,59,9.64,3.07,172.79,Isles Sunset Lodge
150,Kayes,ML,78.8,65,27,4.7,14.0,-11.0,
157,Kavieng,PG,82.8,74,100,6.93,-2.57,150.8,Nusa Island Retreat
158,Micoud,LC,84.2,74,20,12.75,13.82,-60.9,Zamacà
164,Puerto Quijarro,BO,88.88,48,1,3.56,-17.78,-57.77,Hotel palance
168,Palatka,US,84.99,1,42,11.99,29.65,-81.64,Holiday Inn Express & Suites Palatka Northwest
169,Hilo,US,87.8,55,20,11.41,19.73,-155.09,Hilo Hawaiian Hotel
171,Kieta,PG,83.07,69,36,2.15,-6.22,155.63,
184,Derac,HT,87.8,62,40,9.17,19.65,-71.82,Le Marien Hotels & Resorts
202,Mackay,AU,77.0,88,90,3.36,-21.15,149.2,International Lodge Motel
211,Tual,ID,82.36,71,100,8.93,-5.67,132.75,Grand Vilia Hotel
216,Dzaoudzi,YT,77.0,83,0,5.82,-12.79,45.27,Le Rocher
217,Keti Bandar,PK,77.41,55,0,5.84,24.14,67.45,Haji laloo memon house
219,Russell,US,77.0,65,90,3.36,32.35,-85.2,Macs
223,Balabac,PH,80.94,79,100,13.69,7.99,117.06,Sing and Swing Lodge
230,Hobyo,SO,79.41,83,0,8.59,5.35,48.53,Osmani Hotel
234,Gat,IL,75.2,83,0,4.7,31.61,34.76,OlusHome
237,Sao Filipe,CV,82.92,61,95,16.13,14.9,-24.5,Tortuga B&B
241,Horizontina,BR,83.17,40,0,6.22,-27.63,-54.31,Hotel Avenida
243,Jeremoabo,BR,83.26,51,71,12.82,-10.07,-38.48,
248,Maracacume,BR,77.45,86,100,4.61,-2.04,-45.96,Motel imperial
251,Bandarbeyla,SO,75.63,78,1,12.19,9.49,50.81,REER XOOSHLE GROUP
253,Mabini,PH,78.8,88,90,20.8,15.6,120.98,Anya's Private Pool
261,Urucui,BR,80.08,68,97,1.83,-7.23,-44.56,Formula Flat Uruçui
263,Bogalusa,US,75.2,60,40,8.05,30.79,-89.85,Traveler's Rest Motel
267,Bol,TD,82.94,41,29,11.01,13.46,14.71,Hotel 3 Etoiles
269,Kendari,ID,76.01,88,99,2.19,-3.94,122.5,Hotel Wixel
270,Pontianak,ID,75.72,90,97,2.51,-0.03,109.33,Aston Pontianak Hotel & Convention Center
273,Dingle,PH,75.97,90,100,17.13,11.0,122.67,Camp Pasica
277,Buala,SB,83.52,71,92,0.83,-8.14,159.59,Maringe Lagoon Lodge
283,Port Blair,IN,78.13,85,73,7.2,11.67,92.75,Fortune Resort Bay Island
284,Koumac,NC,79.65,61,0,1.34,-20.57,164.28,Le Monitel
285,Pitimbu,BR,78.8,83,0,6.93,-7.47,-34.81,Reserva do Abiaí
286,San Patricio,US,84.2,70,75,19.46,28.02,-97.52,"Motel 6 Sinton, TX"
288,Vila Do Maio,CV,82.4,61,0,19.46,15.13,-23.22,Residence 'I Delfini'
289,Kabanjahe,ID,77.0,100,75,2.24,3.1,98.49,Pelindung Bawah Losmen
291,Pouebo,NC,78.08,67,8,11.99,-20.4,164.57,
295,Karjat,IN,82.4,78,40,3.02,18.92,73.33,Amber Farms
301,Salta,AR,89.6,31,75,10.29,-24.79,-65.41,Hotel Alejandro I
306,Makakilo City,US,84.2,70,1,9.17,21.35,-158.09,Marriott's Ko Olina Beach Club
309,Taoudenni,ML,87.35,13,21,8.63,22.68,-3.98,
315,Tabou,CI,77.86,88,90,5.95,4.42,-7.35,hotêl doufoulougou
317,Port Keats,AU,84.13,77,53,10.27,-14.25,129.55,TDC Village (Hundred Man Camp)
318,Mandera,KE,83.43,56,20,14.0,3.94,41.87,Kornesh Hotel and Lodging
322,Kailua,US,86.0,66,40,8.05,21.4,-157.74,Sheffield House Bed & Breakfast
323,Merauke,ID,79.43,77,62,8.39,-8.47,140.33,
324,Sarishabari,BD,77.22,84,24,4.12,24.73,89.83,Miraj Hasan Mehedi
325,Padang,ID,78.48,71,100,3.02,-0.95,100.35,Mercure Padang
326,Sapele,NG,76.1,92,92,2.13,5.89,5.68,Movig Hotel & Suites
327,Biak,ID,77.29,76,100,4.0,-0.91,122.88,Kost Ariz
328,Nuevo Progreso,MX,89.01,54,0,8.01,23.17,-97.95,Balneario Rio el Paraiso
331,Sagua La Grande,CU,82.4,78,75,9.17,22.81,-80.08,Hotel Amaro
332,San Pedro,PH,77.0,94,90,13.87,14.35,121.02,OYO 412 Viewfort Venue
338,Nokaneng,BW,79.03,22,0,8.52,-19.67,22.27,
340,Daru,PG,80.87,79,44,6.73,-9.08,143.21,New century hotel
