City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Birjand,32.87,59.22,41.0,20,0,6.93,IR,2020-10-25 21:37:56
1,Carnarvon,-24.87,113.63,69.8,88,90,17.22,AU,2020-10-25 21:37:57
2,Nikolskoye,59.7,30.79,43.0,93,90,6.71,RU,2020-10-25 21:37:57
3,Mataura,-46.19,168.86,51.01,66,93,5.99,NZ,2020-10-25 21:36:18
4,Isangel,-19.55,169.27,80.6,69,75,11.1,VU,2020-10-25 21:37:57
5,Hobart,-42.88,147.33,48.2,70,75,5.82,AU,2020-10-25 21:36:36
6,Cape Town,-33.93,18.42,63.0,77,0,20.8,ZA,2020-10-25 21:34:10
7,New Norfolk,-42.78,147.06,48.0,65,2,1.01,AU,2020-10-25 21:37:58
8,Saint Anthony,45.02,-93.22,28.4,79,90,6.93,US,2020-10-25 21:36:22
9,Omboue,-1.57,9.26,77.61,86,100,7.45,GA,2020-10-25 21:37:58
10,Kijang,35.24,129.21,48.2,76,0,8.05,KR,2020-10-25 21:37:58
11,Norman Wells,65.28,-126.83,21.2,92,75,3.36,CA,2020-10-25 21:37:58
12,Hermanus,-34.42,19.23,61.0,83,85,13.62,ZA,2020-10-25 21:37:59
13,Bluff,-46.6,168.33,51.01,66,63,5.99,NZ,2020-10-25 21:37:59
14,Nome,64.5,-165.41,37.99,86,90,6.93,US,2020-10-25 21:37:59
15,Hamilton,39.18,-84.53,54.0,66,90,5.82,US,2020-10-25 21:34:58
16,Khatanga,71.97,102.5,6.35,95,94,9.66,RU,2020-10-25 21:38:00
17,Constitucion,-35.33,-72.42,55.9,63,0,17.6,CL,2020-10-25 21:38:00
18,Port Elizabeth,-33.92,25.57,64.4,88,100,11.41,ZA,2020-10-25 21:38:01
19,Mumbwa,-14.98,27.06,72.99,34,0,6.46,ZM,2020-10-25 21:38:01
20,Gueret,46.17,1.87,50.0,93,100,9.17,FR,2020-10-25 21:38:01
21,Comodoro Rivadavia,-45.87,-67.5,66.2,33,40,17.22,AR,2020-10-25 21:38:01
22,Castro,-24.79,-50.01,64.98,87,1,4.43,BR,2020-10-25 21:38:00
23,Tuktoyaktuk,69.45,-133.04,23.0,85,90,18.34,CA,2020-10-25 21:36:57
24,Severo-Kurilsk,50.68,156.12,44.22,84,89,4.83,RU,2020-10-25 21:38:02
25,Airai,-8.93,125.41,63.41,95,98,1.66,TL,2020-10-25 21:38:02
26,Wabash,40.8,-85.82,48.0,71,100,10.0,US,2020-10-25 21:38:03
27,Ndele,8.41,20.65,74.41,72,57,1.12,CF,2020-10-25 21:38:03
28,Behbahan,30.6,50.24,62.6,42,0,2.21,IR,2020-10-25 21:38:03
29,Ust-Nera,64.57,143.2,4.69,87,60,4.92,RU,2020-10-25 21:38:03
30,Provideniya,64.38,-173.3,35.6,69,75,6.71,RU,2020-10-25 21:38:04
31,Namibe,-15.2,12.15,68.58,79,48,1.81,AO,2020-10-25 21:37:40
32,Crieff,56.37,-3.84,48.99,83,98,5.01,GB,2020-10-25 21:38:04
33,Chokurdakh,70.63,147.92,5.92,92,4,9.91,RU,2020-10-25 21:38:04
34,Port-Cartier,50.03,-66.87,36.0,40,40,10.29,CA,2020-10-25 21:38:05
35,Grenfell,-33.9,148.17,50.7,85,100,18.59,AU,2020-10-25 21:38:05
36,Craig,40.52,-107.55,14.0,85,90,12.75,US,2020-10-25 21:38:05
37,Puerto Ayora,-0.74,-90.35,75.2,78,20,13.87,EC,2020-10-25 21:38:05
38,Ushuaia,-54.8,-68.3,53.6,46,40,3.36,AR,2020-10-25 21:38:02
39,Kapaa,22.08,-159.32,82.99,74,40,4.7,US,2020-10-25 21:37:13
40,Shenjiamen,29.96,122.3,64.04,68,41,5.82,CN,2020-10-25 21:38:06
41,Santiago De Chuco,-8.15,-78.18,55.29,74,100,5.14,PE,2020-10-25 21:38:06
42,Clyde River,70.47,-68.59,17.6,78,90,6.93,CA,2020-10-25 21:37:00
43,Labuhan,-6.88,112.21,78.85,84,97,8.08,ID,2020-10-25 21:38:07
44,Kingaroy,-26.53,151.83,69.01,82,90,4.7,AU,2020-10-25 21:38:07
45,Peniche,39.36,-9.38,59.0,78,79,5.99,PT,2020-10-25 21:36:47
46,Marzuq,14.4,46.47,63.25,32,0,2.19,YE,2020-10-25 21:38:07
47,Pekan,3.48,103.4,75.2,94,20,4.61,MY,2020-10-25 21:38:08
48,Aguimes,27.91,-15.45,71.6,64,40,20.8,ES,2020-10-25 21:38:08
49,Corsicana,32.1,-96.47,64.99,82,90,9.17,US,2020-10-25 21:36:33
50,Port Alfred,-33.59,26.89,65.46,80,95,2.62,ZA,2020-10-25 21:38:08
51,Mandalgovi,45.76,106.27,23.74,77,0,20.4,MN,2020-10-25 21:38:08
52,Mahebourg,-20.41,57.7,71.6,88,75,11.41,MU,2020-10-25 21:38:09
53,Rikitea,-23.12,-134.97,74.57,81,100,21.52,PF,2020-10-25 21:38:09
54,Cruzeiro Do Sul,-29.51,-51.99,82.99,67,23,4.0,BR,2020-10-25 21:38:09
55,Capitan Bado,-23.27,-55.53,83.46,52,62,4.05,PY,2020-10-25 21:38:09
56,Korla,41.76,86.15,46.0,65,97,1.99,CN,2020-10-25 21:38:09
57,Lasem,-6.69,111.45,78.31,86,94,5.64,ID,2020-10-25 21:38:10
58,Olafsvik,64.89,-23.71,42.42,81,100,25.55,IS,2020-10-25 21:38:10
59,Mendi,-6.18,143.65,60.58,83,95,0.83,PG,2020-10-25 21:38:10
60,Albany,42.6,-73.97,46.99,46,0,3.38,US,2020-10-25 21:35:50
61,Opunake,-39.46,173.86,64.0,94,49,4.0,NZ,2020-10-25 21:35:24
62,Hambantota,6.12,81.12,78.42,81,100,11.14,LK,2020-10-25 21:37:17
63,Alice Springs,-23.7,133.88,59.0,33,2,12.75,AU,2020-10-25 21:37:50
64,Saint George,37.1,-113.58,71.6,21,69,16.11,US,2020-10-25 21:37:57
65,Sitka,57.05,-135.33,42.8,75,90,12.75,US,2020-10-25 21:36:42
66,Saint-Philippe,-21.36,55.77,73.4,73,0,3.36,RE,2020-10-25 21:38:12
67,Kavaratti,10.57,72.64,81.45,76,93,6.89,IN,2020-10-25 21:38:12
68,Jamestown,42.1,-79.24,46.0,70,90,9.17,US,2020-10-25 21:37:02
69,Snezhnogorsk,69.19,33.25,24.8,92,75,4.47,RU,2020-10-25 21:38:12
70,Vitim,59.45,112.56,27.93,97,100,8.16,RU,2020-10-25 21:38:13
71,Maceio,-9.67,-35.74,77.0,83,0,6.93,BR,2020-10-25 21:38:13
72,East London,-33.02,27.91,66.92,70,98,2.86,ZA,2020-10-25 21:38:14
73,Aksum,14.12,38.72,59.16,40,28,6.4,ET,2020-10-25 21:38:14
74,Busselton,-33.65,115.33,53.01,68,0,3.42,AU,2020-10-25 21:38:14
75,Krasnoselkup,65.7,82.47,3.87,93,0,9.84,RU,2020-10-25 21:38:14
76,Sur,22.57,59.53,73.72,53,0,7.25,OM,2020-10-25 21:38:15
77,Atuona,-9.8,-139.03,78.87,75,0,19.91,PF,2020-10-25 21:37:04
78,Hofn,64.25,-15.21,44.11,75,100,14.07,IS,2020-10-25 21:38:15
79,Praia,14.92,-23.51,82.4,61,0,19.46,CV,2020-10-25 21:38:15
80,Evensk,61.95,159.23,32.95,91,100,14.18,RU,2020-10-25 21:38:15
81,Karratha,-20.74,116.85,64.11,91,100,12.33,AU,2020-10-25 21:38:16
82,Punta Arenas,-53.15,-70.92,44.6,81,75,4.7,CL,2020-10-25 21:35:37
83,Raudeberg,61.99,5.14,48.0,80,37,22.46,NO,2020-10-25 21:38:16
84,Hithadhoo,-0.6,73.08,83.16,70,44,6.26,MV,2020-10-25 21:38:16
85,Nelson Bay,-32.72,152.15,63.0,100,90,24.16,AU,2020-10-25 21:38:17
86,Chuy,-33.7,-53.46,68.07,86,100,16.26,UY,2020-10-25 21:38:17
