City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Verkhnyaya Inta,RU,2020-10-24 21:06:52,65.98,60.31,20.08,92,94,12.73
1,Vaini,TO,2020-10-24 21:06:53,-21.2,-175.2,73.4,88,75,10.29
2,Ribeira Grande,PT,2020-10-24 21:06:53,38.52,-28.7,66.2,93,40,17.22
3,Atuona,PF,2020-10-24 21:06:53,-9.8,-139.03,78.73,74,1,22.75
4,Hermanus,ZA,2020-10-24 21:06:53,-34.42,19.23,62.01,91,6,4.0
5,Barrow,US,2020-10-24 21:04:08,71.29,-156.79,30.2,86,90,11.41
6,Egvekinot,RU,2020-10-24 21:03:11,66.32,-179.17,21.87,96,15,8.93
7,Provideniya,RU,2020-10-24 21:06:54,64.38,-173.3,33.82,89,76,15.21
8,Tiksi,RU,2020-10-24 21:02:36,71.69,128.87,12.07,92,99,24.23
9,Rikitea,PF,2020-10-24 21:06:54,-23.12,-134.97,74.64,83,84,22.82
10,Abha,SA,2020-10-24 21:06:55,18.22,42.51,64.4,16,0,4.7
11,Lompoc,US,2020-10-24 21:06:55,34.64,-120.46,66.2,68,90,11.41
12,Kalianget,ID,2020-10-24 21:06:55,-7.05,113.93,81.88,77,84,6.29
13,Avarua,CK,2020-10-24 21:02:27,-21.21,-159.78,75.2,73,37,14.99
14,Ushuaia,AR,2020-10-24 21:06:56,-54.8,-68.3,50.0,70,75,8.05
15,Meulaboh,ID,2020-10-24 21:04:03,4.14,96.13,73.89,95,100,6.31
16,Faanui,PF,2020-10-24 21:02:37,-16.48,-151.75,79.14,74,45,7.54
17,Puerto Ayora,EC,2020-10-24 21:06:56,-0.74,-90.35,77.0,73,40,14.99
18,Glendive,US,2020-10-24 21:06:57,47.11,-104.71,19.99,79,90,16.11
19,Cherskiy,RU,2020-10-24 21:06:57,68.75,161.3,17.04,93,4,5.48
20,Cabo San Lucas,MX,2020-10-24 21:05:57,22.89,-109.91,90.0,66,5,9.17
21,Hami,CN,2020-10-24 21:03:02,42.8,93.45,46.51,52,86,8.57
22,Porto Novo,BJ,2020-10-24 21:06:57,6.5,2.6,82.4,83,20,9.17
23,Vila Franca Do Campo,PT,2020-10-24 21:06:58,37.72,-25.43,68.0,82,75,19.46
24,Mulege,MX,2020-10-24 21:06:58,26.88,-111.98,90.43,36,18,7.58
25,Punta Arenas,CL,2020-10-24 21:02:06,-53.15,-70.92,42.8,93,90,13.87
26,Pisco,PE,2020-10-24 21:04:21,-13.7,-76.22,66.2,77,0,17.22
27,Bredasdorp,ZA,2020-10-24 21:06:59,-34.53,20.04,60.8,87,0,3.36
28,Upernavik,GL,2020-10-24 21:06:59,72.79,-56.15,23.07,95,100,10.76
29,Lubao,PH,2020-10-24 21:06:59,14.92,120.55,75.2,94,90,2.24
30,Georgetown,MY,2020-10-24 21:02:37,5.41,100.34,77.0,94,40,3.36
31,Tasiilaq,GL,2020-10-24 21:06:59,65.61,-37.64,33.8,74,98,1.12
32,Goderich,CA,2020-10-24 21:07:00,43.75,-81.72,46.99,78,50,12.44
33,Catuday,PH,2020-10-24 21:07:00,16.29,119.81,78.39,81,100,4.45
34,Mayo,US,2020-10-24 21:02:07,38.89,-76.51,73.4,69,75,9.17
35,Kapaa,US,2020-10-24 21:07:00,22.08,-159.32,82.99,69,20,9.17
36,New Norfolk,AU,2020-10-24 21:07:00,-42.78,147.06,46.0,64,2,1.99
37,Tiarei,PF,2020-10-24 21:03:13,-17.53,-149.33,82.4,69,75,8.05
38,Marzuq,YE,2020-10-24 21:07:01,14.4,46.47,64.45,26,0,0.74
39,Paamiut,GL,2020-10-24 21:02:48,61.99,-49.67,30.96,86,18,9.28
40,Mataura,NZ,2020-10-24 21:07:01,-46.19,168.86,71.01,58,93,15.99
41,Arraial Do Cabo,BR,2020-10-24 21:07:01,-22.97,-42.03,71.6,94,90,14.99
42,Cape Town,ZA,2020-10-24 21:07:01,-33.93,18.42,62.01,93,20,5.82
43,Loughrea,IE,2020-10-24 21:07:02,53.2,-8.57,46.4,81,40,17.22
44,Aykhal,RU,2020-10-24 21:02:10,66.0,111.5,12.2,92,90,2.24
45,Belaya Gora,RU,2020-10-24 21:04:26,68.53,146.42,15.91,94,100,5.46
46,Kisanga,TZ,2020-10-24 21:07:03,-7.44,37.7,77.59,71,10,8.23
47,Edd,ER,2020-10-24 21:07:03,13.93,41.69,84.0,52,3,9.98
48,Kaitangata,NZ,2020-10-24 21:07:03,-46.28,169.85,64.92,56,100,8.59
49,Rio Grande,BR,2020-10-24 21:02:42,-32.03,-52.1,71.01,85,48,5.01
50,State College,US,2020-10-24 21:05:46,40.79,-77.86,54.0,62,31,3.0
51,Yuci,CN,2020-10-24 21:07:04,37.68,112.73,41.0,75,38,2.24
52,Mugumu,TZ,2020-10-24 21:07:04,-1.85,34.7,66.58,77,50,0.43
53,Naze,JP,2020-10-24 21:07:05,28.37,129.48,71.6,60,75,13.87
54,Sitka,US,2020-10-24 21:07:05,57.05,-135.33,41.0,44,40,0.69
55,Montepuez,MZ,2020-10-24 21:07:05,-13.13,39.0,71.44,78,70,5.08
56,Klaksvik,FO,2020-10-24 21:07:06,62.23,-6.59,46.4,81,0,19.46
57,Mahebourg,MU,2020-10-24 21:07:06,-20.41,57.7,73.4,78,75,11.41
58,Bluff,NZ,2020-10-24 21:07:06,-46.6,168.33,71.01,58,85,15.99
59,Grand Gaube,MU,2020-10-24 21:07:06,-20.01,57.66,69.01,87,39,5.01
60,Mar Del Plata,AR,2020-10-24 21:04:18,-38.0,-57.56,60.8,93,90,8.05
61,Busselton,AU,2020-10-24 21:07:07,-33.65,115.33,57.0,50,71,10.0
62,Hithadhoo,MV,2020-10-24 21:02:22,-0.6,73.08,83.28,75,27,11.25
63,Port Hardy,CA,2020-10-24 21:07:07,50.7,-127.42,44.6,48,20,14.99
64,Khatanga,RU,2020-10-24 21:07:08,71.97,102.5,6.93,95,100,15.21
65,Oranjestad,AW,2020-10-24 21:06:52,12.52,-70.03,87.8,74,40,18.34
66,Yellowknife,CA,2020-10-24 21:04:46,62.46,-114.35,26.6,58,40,10.29
67,Morros,BR,2020-10-24 21:07:08,-9.45,-46.3,85.77,46,100,6.35
68,Benguela,AO,2020-10-24 21:02:21,-12.58,13.41,75.54,80,46,8.32
69,Torbay,CA,2020-10-24 21:02:44,47.67,-52.73,48.99,81,90,23.04
70,Pevek,RU,2020-10-24 21:07:09,69.7,170.31,26.29,92,0,12.71
71,Padang,ID,2020-10-24 21:03:05,-0.95,100.35,77.7,79,100,2.98
